sk_review_id,sk_movie_id,qtd_avaliacoes_usuarios,nota_media_usuarios
b5c312c4d8cee94972412b9ea785976f9dbb2c26dd11480d9f2b9b4691df1571,b5c312c4d8cee94972412b9ea785976f9dbb2c26dd11480d9f2b9b4691df1571,1,0.9
828b13d31d443e6fd9cc899ddf64e71d074ab2ac59953a1db89dafd9254409df,828b13d31d443e6fd9cc899ddf64e71d074ab2ac59953a1db89dafd9254409df,1,0.2
7a96c98767c6a30941381b087dfe60e457a20a0666990988cf5fd123aef7a6df,7a96c98767c6a30941381b087dfe60e457a20a0666990988cf5fd123aef7a6df,2,9.05
45da6ce8881bed6cec4c6d4a8fd758f2d3947934ed6460d45b98d8b9295cd417,45da6ce8881bed6cec4c6d4a8fd758f2d3947934ed6460d45b98d8b9295cd417,1,1.2
cddc55cc298f6d404d626fbc51f9e90158a409b6841c9d24e036547cc15ba838,cddc55cc298f6d404d626fbc51f9e90158a409b6841c9d24e036547cc15ba838,1,7.1
13cc7307fdc550b02f4f9d47ad647b61a587e0466e6fa6a703ff1b6e7264ecff,13cc7307fdc550b02f4f9d47ad647b61a587e0466e6fa6a703ff1b6e7264ecff,1,6.6
658ae83d85e0d7df008b249a557e24f969fd52851bd958b968915ee208e4e6de,658ae83d85e0d7df008b249a557e24f969fd52851bd958b968915ee208e4e6de,1,4.2
d99903e01944ac7fb33ed12e212d97e28ac78b17f1e9a68b3d240604dc8e20f3,d99903e01944ac7fb33ed12e212d97e28ac78b17f1e9a68b3d240604dc8e20f3,1,0.1
98e85a4098b1bb4d6c61a803ed2df1638b90a381eef6da55fdc908bcea7ef7bb,98e85a4098b1bb4d6c61a803ed2df1638b90a381eef6da55fdc908bcea7ef7bb,2,5.95
35dcf1caad0d44a4eb9813babf98d4df0adcb1b547793fb5e46ed4c03c4d556b,35dcf1caad0d44a4eb9813babf98d4df0adcb1b547793fb5e46ed4c03c4d556b,1,8.1
c74afac6102eed30e80a97e2f959adffa8f329a1ff6103c821b084bb2ea1c2ec,c74afac6102eed30e80a97e2f959adffa8f329a1ff6103c821b084bb2ea1c2ec,1,8.8
63aadda6966a2c4b12bac1ec6af1c3762fec022ea42359ac5bab58c7fadaf925,63aadda6966a2c4b12bac1ec6af1c3762fec022ea42359ac5bab58c7fadaf925,1,3.9
9c0f574669661bec00b8633f4d88fcb238bcc60809106301649ba762ef40f8a5,9c0f574669661bec00b8633f4d88fcb238bcc60809106301649ba762ef40f8a5,1,8.5
32f9d0b6f9897e07a144c464b31c23e4f40adb5c003154e2515adad5a95d0b3f,32f9d0b6f9897e07a144c464b31c23e4f40adb5c003154e2515adad5a95d0b3f,2,6.05
c81b8d4675ba4939944453b4aca3e9736cdc7120144b6db3d68c60a7bf5d58df,c81b8d4675ba4939944453b4aca3e9736cdc7120144b6db3d68c60a7bf5d58df,1,8.6
bc7fffa9c544fd10ce856ed06e4ca4ba38d1830fe2dbb99bc43ccc397557af13,bc7fffa9c544fd10ce856ed06e4ca4ba38d1830fe2dbb99bc43ccc397557af13,0,
6800902bb97185ef8ac5bc528f75a1f44414903bc9af9a292d9d7debc2c9943e,6800902bb97185ef8ac5bc528f75a1f44414903bc9af9a292d9d7debc2c9943e,2,3.85
7854b72533004695e50d0b7e32aa7685ad35e38532568139990332368b7fb6ea,7854b72533004695e50d0b7e32aa7685ad35e38532568139990332368b7fb6ea,3,6.2
7a92c41b0df29153afb2935d33a2f438732ad03394103a3248f6d82f0aac4e25,7a92c41b0df29153afb2935d33a2f438732ad03394103a3248f6d82f0aac4e25,2,2.45
dd7d8fd797b7b89363496d63834ad65c6952b335f6b88bb044587b16ee542d68,dd7d8fd797b7b89363496d63834ad65c6952b335f6b88bb044587b16ee542d68,1,3.2
fc9e6b52e35a9f28a0ef762681f533034843c5afd3e8296dbbc96effd92ba43d,fc9e6b52e35a9f28a0ef762681f533034843c5afd3e8296dbbc96effd92ba43d,1,9.0
28f85ac8ce9dd7b378d29289db5637fa8b3fd72a6a92495f160b345d4dada14e,28f85ac8ce9dd7b378d29289db5637fa8b3fd72a6a92495f160b345d4dada14e,1,4.5
05cf3c427135cec7ccb00136a69208524af764bd5947f32c649060f2458652c5,05cf3c427135cec7ccb00136a69208524af764bd5947f32c649060f2458652c5,0,
6594fe099ec4271e75f03ef144c94b749c46615f62b0ee22bf45fec57f14e570,6594fe099ec4271e75f03ef144c94b749c46615f62b0ee22bf45fec57f14e570,1,2.6
e7615a73d0de68589ac09c7ac98e6044d4c35b55dc25c473c4195b33b89af1cf,e7615a73d0de68589ac09c7ac98e6044d4c35b55dc25c473c4195b33b89af1cf,1,1.6
a80ce3d687b0e3da8cf3e6169d3843e217a2e3d5ce39a2cabc40765b0ce92747,a80ce3d687b0e3da8cf3e6169d3843e217a2e3d5ce39a2cabc40765b0ce92747,1,2.7
9a8933e95bef9471d38e772e3ceacb0640885227e603852700b75d16ebca22a7,9a8933e95bef9471d38e772e3ceacb0640885227e603852700b75d16ebca22a7,1,7.0
32a4846a4cbd2e38af7359b7210bd4dc121a471539fae13d34cbdcf45c7233a7,32a4846a4cbd2e38af7359b7210bd4dc121a471539fae13d34cbdcf45c7233a7,1,5.2
20520db767a3579fb955549bdde034d27f19bebc6ed95d135f88f9bce8949d17,20520db767a3579fb955549bdde034d27f19bebc6ed95d135f88f9bce8949d17,1,2.9
011ca5d23d229dd15597f7a14444b7faf66559565c003886f1aad22f029c6e9f,011ca5d23d229dd15597f7a14444b7faf66559565c003886f1aad22f029c6e9f,1,4.0
6770873ee4c81dfbce7bd26432fc5f81d7053bbc7a71aabe47dd42b1ca7ab38a,6770873ee4c81dfbce7bd26432fc5f81d7053bbc7a71aabe47dd42b1ca7ab38a,1,9.4
c0a3057bce726615a5ba9b6bb6e513eb86aa6162a8fb4bb0c78ddb0822977998,c0a3057bce726615a5ba9b6bb6e513eb86aa6162a8fb4bb0c78ddb0822977998,1,6.6
760881355db1c94c67887080d3ecc31c0a8dfe60fc846fc036cb9f2f189cc09f,760881355db1c94c67887080d3ecc31c0a8dfe60fc846fc036cb9f2f189cc09f,1,0.3
fee496a2a074fb7d573d5fd2c0ca7576c3fc8cf12e631c16fb9e00da2ffa9cd5,fee496a2a074fb7d573d5fd2c0ca7576c3fc8cf12e631c16fb9e00da2ffa9cd5,1,0.3
b7e84ac257a53daa524401f4323fcee3646b283dccbe70f11101edab45e0bce7,b7e84ac257a53daa524401f4323fcee3646b283dccbe70f11101edab45e0bce7,1,2.7
0d1a957efca04ae1372dee69c80898d02b45d48a3680f9fc520eb8fb0cd8797c,0d1a957efca04ae1372dee69c80898d02b45d48a3680f9fc520eb8fb0cd8797c,1,6.9
88950b5cbcd974f7422318f40c9fc513524ccb957f65e61283eb21471d9b5b14,88950b5cbcd974f7422318f40c9fc513524ccb957f65e61283eb21471d9b5b14,1,9.8
f879df14320aefc6013182ff0d74234e3d9935bab22aa5ab6c85392502f7c8c0,f879df14320aefc6013182ff0d74234e3d9935bab22aa5ab6c85392502f7c8c0,1,1.9
4f6468aa51e07968f43506bc167968d5079bfa9875fbb3b156b33fb3df2574e2,4f6468aa51e07968f43506bc167968d5079bfa9875fbb3b156b33fb3df2574e2,1,9.6
149281411c1333a012e7f6b15f41d2c6862d8957e57cc45b169c782842c797d4,149281411c1333a012e7f6b15f41d2c6862d8957e57cc45b169c782842c797d4,1,4.2
9671132e9923214baa5afa47d5edd271e35770f5d3e2e932fd462c6103cb54d2,9671132e9923214baa5afa47d5edd271e35770f5d3e2e932fd462c6103cb54d2,1,1.1
4d54b70918b21909d311fcdaa1eaef99b125aa038125510daf7af09fdc80323a,4d54b70918b21909d311fcdaa1eaef99b125aa038125510daf7af09fdc80323a,1,3.1
35cfc6ab36a0e9bbe282c6975f7486555e28e80559256be8508702c4530eb234,35cfc6ab36a0e9bbe282c6975f7486555e28e80559256be8508702c4530eb234,1,9.7
1b6acd06a0d9f8555c6cef21c93299be69dc455674ab7b7dd6c63a9d9498d9ac,1b6acd06a0d9f8555c6cef21c93299be69dc455674ab7b7dd6c63a9d9498d9ac,1,7.2
887157a5841fe89e86a22995bc5c3c69b48f134589fa3a36ec2c419a94e646c9,887157a5841fe89e86a22995bc5c3c69b48f134589fa3a36ec2c419a94e646c9,1,9.9
dd2d2f226051a79ce32934c342d870a65b5ab087c19a5acdb877a5f2af3849ba,dd2d2f226051a79ce32934c342d870a65b5ab087c19a5acdb877a5f2af3849ba,1,9.9
63365be226ff6081e44ea2575e14e00c5d0a122b476a7e9526fa0c6002db9101,63365be226ff6081e44ea2575e14e00c5d0a122b476a7e9526fa0c6002db9101,2,6.7
