sk_movie_id,orcamento_usd,receita_usd,lucro_usd,orcamento_brl,receita_brl,lucro_brl,popularidade,nota_tmdb,qtd_tmdb,nota_imdb,qtd_imdb
b5c312c4d8cee94972412b9ea785976f9dbb2c26dd11480d9f2b9b4691df1571,25000000.0,83080890.0,58080890.0,78682500.0,261480485.1,182797985.1,24.584,4.966,2375.0,4.5,46286.0
d286f479f6764d7a09951df2c51cc95b7615c4f021fedc31773b69fa3e4da5f1,,,0.0,,,0.0,8.929,7.064,118.0,6.6,4617.0
54ecb594e9ce04d4b5ba09215e8d130683c7fe6d8ef5f0d469691ae1dfe6df62,7500000.0,,-7500000.0,32363250.0,,-32363250.0,,3.161,28.0,,
828b13d31d443e6fd9cc899ddf64e71d074ab2ac59953a1db89dafd9254409df,,,0.0,,,0.0,2.98,7.1,5.0,7.8,212.0
57428b7bf299a9ce24b282333f4740f1b23f2559e17b2d9523177007da9a60a2,90000000.0,426505244.0,336505244.0,374544000.0,1774944223.43,1400400223.43,46.619,7.139,7570.0,6.5,199420.0
e179988419c4081738ebaeb0e5e1780ee80853a998e8499c3bd175413ddd0e60,,,0.0,,,0.0,3.403,6.63,27.0,6.8,1750.0
929dee7737b125c09cd3cef8ce9dda9aae9fd8ca73e5cc8da8cffc1c0cb41eec,,,0.0,,,0.0,1.561,10.0,1.0,6.4,34.0
7a96c98767c6a30941381b087dfe60e457a20a0666990988cf5fd123aef7a6df,144000000.0,,-144000000.0,465192000.0,,-465192000.0,40.052,5.371,5976.0,6.8,260417.0
5aebd7fe5572fc323aa165a549d58f9d5a30f3761355384fee131da8fb45063e,337200.0,,-337200.0,1115255.28,,-1115255.28,0.6,8.0,2.0,7.6,154.0
45da6ce8881bed6cec4c6d4a8fd758f2d3947934ed6460d45b98d8b9295cd417,,,0.0,,,0.0,0.693,8.5,2.0,7.0,1209.0
f31c8cc81556aa9929a990b2a8b74799a01e97a3685c2185c94122f2f5a5943e,165000000.0,389681935.0,224681935.0,558970500.0,1320125491.2,761154991.2,31.224,5.283,5674.0,5.2,201715.0
cddc55cc298f6d404d626fbc51f9e90158a409b6841c9d24e036547cc15ba838,20000000.0,,-20000000.0,104430000.0,,-104430000.0,67.015,7.749,3127.0,,345460.0
1aa1640f66c9e2e901751a1c33c99246912fc3ffbfe809ac29538d78a4942bd9,13500000.0,18850674.0,5350674.0,45860850.0,64037624.65,18176774.65,12.698,5.854,417.0,6.0,31025.0
13cc7307fdc550b02f4f9d47ad647b61a587e0466e6fa6a703ff1b6e7264ecff,6200000.0,4017852.0,-2182148.0,19634160.0,12723733.71,-6910426.29,33.727,4.919,810.0,3.9,27250.0
2eb2158e4711ef9f811e65f270b603d59ea1cd9e60480e205d8ec750a84697ab,28000000.0,16457494.0,-11542506.0,108208800.0,63601631.31,-44607168.69,25.09,6.146,2029.0,5.8,65037.0
9b6316c3b9de01beefbcaafd7262ea313c80abf703c82bf0663c238855f60a86,,,0.0,,,0.0,1.837,5.2,,5.8,208.0
658ae83d85e0d7df008b249a557e24f969fd52851bd958b968915ee208e4e6de,,,0.0,,,0.0,4.897,5.8,9.0,5.8,10486.0
077cc7da968761a05978d13fb9be1812ca2bad43733a5cbac44335f44e0920c3,46000000.0,23737523.0,-22262477.0,153161600.0,79036456.58,-74125143.42,28.9,7.119,,7.2,135908.0
d99903e01944ac7fb33ed12e212d97e28ac78b17f1e9a68b3d240604dc8e20f3,160000000.0,433677183.0,273677183.0,572768000.0,1552477579.7,979709579.7,37.312,6.364,6340.0,6.7,297914.0
464ce7ab0bc887854694b00382a00c6286cf4bd1120e175d460263b29056ce55,,,0.0,,,0.0,0.934,8.0,6.0,,222.0
1a0b0eae0682777ba018b7c5d2186998c22bba9d178bbde1d100306384b3b615,199000.0,,-199000.0,977587.5,,-977587.5,5.3,0.0,,5.2,157.0
bb227566b3010c6af047a841f656ef46167596e6234afaa7c71e8fd88c5526ee,460000000.0,2320250281.0,1860250281.0,2456400000.0,12390136500.54,9933736500.54,241.285,7.654,9830.0,7.5,646896.0
98e85a4098b1bb4d6c61a803ed2df1638b90a381eef6da55fdc908bcea7ef7bb,,,0.0,,,0.0,12.54,6.223,490.0,6.1,16099.0
a866dee1b13ca4e5caee29ec450362d55005f8cc0e0252706d3d394e6b2309ca,,,0.0,,,0.0,1.475,6.0,1.0,8.2,180.0
04afbba4169b810ea175d7d3a021d3cf3f99859f0e6308807ab3901b5b59a027,,,0.0,,,0.0,2.721,6.7,3.0,6.1,54.0
3445a61753ce39f38b4484ba5c8fdb15ac4e82196014d1ec30fda7a3c303d689,,,0.0,,,0.0,0.6,7.6,5.0,9.1,27.0
aeaa39e5a5aaf5ed549d66015e79f5ab0ec8597ce5992ba2dfd994889ee62fa8,,,0.0,,,0.0,10.256,6.28,157.0,6.5,5828.0
108f11a4cd22f0ad6d57c61a1fbfcf3c5ba106c01033233b622dd8f36ed4d371,,,0.0,,,0.0,3.508,5.7,11.0,5.3,562.0
35dcf1caad0d44a4eb9813babf98d4df0adcb1b547793fb5e46ed4c03c4d556b,,,0.0,,,0.0,1.924,3.3,18.0,3.7,979.0
0e4539f847e9ba0c83771af2488c89b6b902e7a7a3ee52557e3616fab426ccc9,35000000.0,211952420.0,176952420.0,116396000.0,704868967.95,588472967.95,18.589,6.417,2744.0,6.4,92005.0
83cf465f1b5daae4cb297a7377e351e821fa66c8f77644d1e8eb2af6feccff1f,,,0.0,,,0.0,2.153,10.0,1.0,5.2,
c74afac6102eed30e80a97e2f959adffa8f329a1ff6103c821b084bb2ea1c2ec,,,0.0,,,0.0,0.819,5.2,5.0,6.0,152.0
510ada8b53cbacd46afd0282c2db251bd74e721de11d7b2c42822814993b9582,,,0.0,,,0.0,6.196,6.8,19.0,6.8,7347.0
63aadda6966a2c4b12bac1ec6af1c3762fec022ea42359ac5bab58c7fadaf925,,,0.0,,,0.0,0.84,5.0,2.0,6.5,322.0
917ed7e3c509679a813f558a3ede702e70d2a39cab2f35cce8be6a83a924ef0e,,,0.0,,,0.0,0.876,1.0,1.0,4.7,53.0
2bdc84d73c31a195c15b5522e0d0158c3b4ad8d81a1912e5d353e54d9d930b38,,,0.0,,,0.0,10.811,5.362,109.0,4.9,3467.0
9c0f574669661bec00b8633f4d88fcb238bcc60809106301649ba762ef40f8a5,,,0.0,,,0.0,0.657,0.0,2.0,7.9,23.0
32f9d0b6f9897e07a144c464b31c23e4f40adb5c003154e2515adad5a95d0b3f,400000.0,,-400000.0,1595760.0,,-1595760.0,1.942,3.1,7.0,3.1,268.0
c81b8d4675ba4939944453b4aca3e9736cdc7120144b6db3d68c60a7bf5d58df,125000000.0,240697856.0,115697856.0,416137500.0,801307232.41,385169732.41,26.133,5.419,7328.0,5.6,220931.0
bc7fffa9c544fd10ce856ed06e4ca4ba38d1830fe2dbb99bc43ccc397557af13,,,0.0,,,0.0,2.018,8.5,2.0,7.7,177.0
e0df3591a09dec52a2f86833486879ce4dc8c741754541cc64d67191af8602bb,,240891763.0,240891763.0,,767264354.33,767264354.33,92.533,6.1,7822.0,6.4,
0ee1a4c01769cdde0cbad3e85918dc53b50df13f1a56e1d878dac9d95f7ce2f1,,1028570889.0,1028570889.0,,3589506688.43,3589506688.43,26.562,7.042,11429.0,7.2,339586.0
451c300e3dc52abeace1343746b394a3f5cc8eafe142407a816d8509d6d0d8a4,,,0.0,,,0.0,2.69,3.4,5.0,,263.0
3e31c9059537d0fcf674bbbcb4b57a6b721d47bd92cb2aa954b0a9c58450ada0,125000000.0,346864462.0,221864462.0,401012500.0,1112775880.54,711763380.54,37.18,6.671,3304.0,6.4,102204.0
91e07ca298df1f009e9d1535037b463c310a7aaaf51e1210614b7d72c6b76843,60000000.0,197183546.0,137183546.0,187452000.0,616040834.41,428588834.41,37.021,6.323,1326.0,6.0,27938.0
6800902bb97185ef8ac5bc528f75a1f44414903bc9af9a292d9d7debc2c9943e,,,0.0,,,0.0,0.6,0.0,0.0,5.5,29.0
b65d97268f4136568be796b0d1b4160329685e700287245ed200673c73993d87,,,0.0,,,0.0,1.098,0.0,0.0,7.1,234.0
