sk_movie_id,sk_genre_id
b5c312c4d8cee94972412b9ea785976f9dbb2c26dd11480d9f2b9b4691df1571,271a22f75d73e13fa558d991442ecde8d75a34a0b9f6216d44b116f8612c82dc
d286f479f6764d7a09951df2c51cc95b7615c4f021fedc31773b69fa3e4da5f1,85f1c8c8e324b6be99b13732edd1770eb0d200d15becbd659cc47ff5e060ac43
d286f479f6764d7a09951df2c51cc95b7615c4f021fedc31773b69fa3e4da5f1,bd2d677b2ed4381b48bb1d0841052c6d076e7d634d5052e85dcbe0b8a0dedd80
828b13d31d443e6fd9cc899ddf64e71d074ab2ac59953a1db89dafd9254409df,6eb00b4b2614a144d41ccdf709017a675953fae2df6cfd6b397bd9e4d8708461
57428b7bf299a9ce24b282333f4740f1b23f2559e17b2d9523177007da9a60a2,9360404e4f35ac209099b0fce8615971c8e89d2ab06348841d708bc3f20d28e3
57428b7bf299a9ce24b282333f4740f1b23f2559e17b2d9523177007da9a60a2,64cff1319d2fd2cbb7a1e84ccecf22c1cc07b24435cdb522f8c0aa525d6002a6
57428b7bf299a9ce24b282333f4740f1b23f2559e17b2d9523177007da9a60a2,22611ceccd0b4d14703ccd4eaab3208ffc03d2c80d38655023b622e50d0466fe
e179988419c4081738ebaeb0e5e1780ee80853a998e8499c3bd175413ddd0e60,da72bf5bbca4ca33b822955cfbbf9e5b84e4e0fa5e5e68cf9d30054109fac58b
929dee7737b125c09cd3cef8ce9dda9aae9fd8ca73e5cc8da8cffc1c0cb41eec,1dd10f244a62771bcca9df74a9bc7d13363df8d3cd69ee07f66c2b1666b256ff
929dee7737b125c09cd3cef8ce9dda9aae9fd8ca73e5cc8da8cffc1c0cb41eec,542855513e4f74d08a92352680c339d82e2ae347fb021a7128c7f4146c40d295
929dee7737b125c09cd3cef8ce9dda9aae9fd8ca73e5cc8da8cffc1c0cb41eec,9a3c16424750cbde029c47e059f219dc64d8943ac4073a1cc5bc9accd979fc17
7a96c98767c6a30941381b087dfe60e457a20a0666990988cf5fd123aef7a6df,64cff1319d2fd2cbb7a1e84ccecf22c1cc07b24435cdb522f8c0aa525d6002a6
7a96c98767c6a30941381b087dfe60e457a20a0666990988cf5fd123aef7a6df,542855513e4f74d08a92352680c339d82e2ae347fb021a7128c7f4146c40d295
